
===========================
ERBE SW Anisotropic Factors
===========================

Rows correspond to different viewing zenith angle ranges (0-15, 15-27, etc.).
Columns correspond to different relative azimuth angle ranges (0-9, 9-30, etc.).

Reference: Suttles, J. T., R. N. Green, P. Minnis, G. L. Smith, W. F. Staylor, B. A. Wielicki, I. J. Walker, 
           D. F. Young, V. R. Taylor, and L. L. Stowe, 1988: Angular radiation models for Earth-atmosphere 
           system. Volume 1: Shortwave radiation, NASA-RP-1184, 148pp, [online] Available: 
           https://hdl.handle.net/2060/19880018293.
	   
	   
=====================  
Scene 1 - Clear Ocean
=====================    
 solar zenith angle range =  0.00 - 25.84
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
   27 - 39          0.768       0.743       0.716       0.675       0.717       0.801       0.868       0.899
   39 - 51          0.893       0.848       0.796       0.730       0.794       0.977       1.062       1.100
   51 - 63          1.228       1.091       0.973       0.852       0.930       1.277       1.369       1.439
   63 - 75          2.504       1.582       1.307       1.065       1.106       1.526       1.757       2.042
   75 - 90          4.291       2.080       1.791       1.427       1.443       1.840       2.190       2.865
 solar zenith angle range = 78.46 - 84.26
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.576       0.576       0.576       0.576       0.576       0.576       0.576       0.576
   15 - 27          0.665       0.639       0.623       0.611       0.626       0.665       0.684       0.707
   27 - 39          0.765       0.739       0.702       0.648       0.680       0.764       0.814       0.851
   39 - 51          0.907       0.851       0.794       0.715       0.777       0.946       1.018       1.037
   51 - 63          1.273       1.130       0.985       0.877       0.953       1.238       1.325       1.375
   63 - 75          2.711       1.660       1.396       1.141       1.179       1.527       1.758       2.133
   75 - 90          5.143       2.166       1.892       1.480       1.472       1.872       2.285       3.133
 solar zenith angle range = 84.26 - 90.00
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.539       0.539       0.539       0.539       0.539       0.539       0.539       0.539
   15 - 27          0.650       0.620       0.598       0.579       0.585       0.626       0.644       0.668
   27 - 39          0.760       0.734       0.687       0.622       0.647       0.730       0.765       0.808
   39 - 51          0.917       0.852       0.790       0.700       0.760       0.917       0.978       0.980
   51 - 63          1.308       1.162       0.993       0.897       0.970       1.200       1.283       1.316
   63 - 75          2.884       1.723       1.470       1.205       1.241       1.523       1.755       2.207
   75 - 90          5.629       2.228       2.034       1.589       1.578       1.915       2.359       3.584

====================    
Scene 3 - Clear Snow
====================    
 solar zenith angle range =  0.00 - 25.84
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          1.055       1.055       1.055       1.055       1.055       1.055       1.055       1.055
   15 - 27          1.059       1.111       0.967       1.078       1.067       1.083       0.990       1.033
   27 - 39          1.050       1.086       0.980       1.060       1.053       1.068       0.996       1.033
   39 - 51          1.039       1.051       1.000       1.035       1.034       1.046       1.005       1.033
   51 - 63          1.022       1.007       1.019       1.003       1.008       1.016       1.013       1.028
   63 - 75          0.945       0.949       0.942       0.921       0.921       0.927       0.929       0.930
   75 - 90          0.767       0.767       0.756       0.726       0.731       0.741       0.746       0.748
 solar zenith angle range = 25.84 - 36.87
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          1.012       1.012       1.012       1.012       1.012       1.012       1.012       1.012
   15 - 27          1.031       1.061       0.974       1.046       1.039       1.074       0.986       1.011
   27 - 39          1.022       1.022       1.020       1.045       1.041       1.143       1.014       0.996
   39 - 51          1.030       1.023       1.017       1.026       1.017       1.083       1.015       1.006
   51 - 63          1.038       1.022       1.012       1.000       0.988       1.010       1.014       1.016
   63 - 75          0.980       0.989       0.958       0.926       0.923       0.943       0.949       0.961
   75 - 90          0.880       0.842       0.797       0.757       0.737       0.768       0.783       0.818
 solar zenith angle range = 36.87 - 45.57
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.994       0.994       0.994       0.994       0.994       0.994       0.994       0.994
   15 - 27          1.013       1.028       0.974       1.016       1.012       1.038       0.980       1.001
   27 - 39          1.027       1.015       1.012       1.023       1.015       1.085       1.000       0.997
   39 - 51          1.089       1.041       1.042       1.023       1.006       1.043       0.993       1.030
   51 - 63          1.084       1.057       1.036       0.977       0.961       1.011       1.020       1.025
   63 - 75          1.079       1.049       1.001       0.936       0.939       0.956       0.966       0.986
   75 - 90          1.034       0.971       0.875       0.792       0.762       0.788       0.833       0.856
 solar zenith angle range = 45.57 - 53.13
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.966       0.966       0.966       0.966       0.966       0.966       0.966       0.966
   15 - 27          0.988       0.992       0.952       0.976       0.977       0.992       0.954       0.986
   27 - 39          1.000       0.987       0.987       0.984       0.972       1.028       0.986       0.973
   39 - 51          1.096       1.043       1.034       0.984       0.965       0.998       0.976       1.023
   51 - 63          1.136       1.081       1.046       0.916       0.957       0.971       1.018       1.034
   63 - 75          1.177       1.126       1.076       0.978       0.947       0.980       0.988       0.984
   75 - 90          1.263       1.190       1.083       1.024       1.002       1.045       0.979       0.921
 solar zenith angle range = 53.13 - 60.00
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.952       0.952       0.952       0.952       0.952       0.952       0.952       0.952
   15 - 27          0.978       0.958       0.974       0.953       0.960       0.971       0.965       0.988
   27 - 39          1.006       0.991       0.976       0.968       0.952       0.975       0.981       0.978
   39 - 51          1.083       1.051       1.031       0.943       0.927       0.993       1.004       1.012
   51 - 63          1.221       1.125       1.061       0.932       0.932       0.981       1.017       1.058
   63 - 75          1.295       1.212       1.123       0.971       0.938       0.995       1.006       1.023
   75 - 90          1.464       1.327       1.158       1.026       0.971       0.926       0.995       1.000
 solar zenith angle range = 60.00 - 66.42
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.897       0.897       0.897       0.897       0.897       0.897       0.897       0.897
   15 - 27          0.942       0.930       0.937       0.919       0.914       0.928       0.938       0.936
   27 - 39          0.991       0.969       0.949       0.933       0.923       0.953       0.947       0.953
   39 - 51          1.107       1.054       1.007       0.943       0.946       0.968       0.984       0.986
   51 - 63          1.244       1.145       1.071       0.961       0.954       0.984       1.014       1.038
   63 - 75          1.462       1.324       1.181       0.968       0.971       1.023       1.046       1.060
   75 - 90          1.701       1.509       1.282       1.079       1.035       1.010       1.073       1.042
 solar zenith angle range = 66.42 - 72.54
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.860       0.860       0.860       0.860       0.860       0.860       0.860       0.860
   15 - 27          0.906       0.912       0.901       0.872       0.872       0.881       0.883       0.884
   27 - 39          0.947       0.959       0.924       0.892       0.889       0.910       0.917       0.931
   39 - 51          1.107       1.057       1.002       0.919       0.926       0.939       0.951       0.976
   51 - 63          1.268       1.188       1.098       0.942       0.936       0.985       1.023       1.016
